src,dst,cosine_sim
15200,24534,0.96335936
15217,32552,0.9534423
15227,23,0.9341241
15227,4102,0.970744
15227,12137,0.9705715
15227,13701,0.9283884
15227,13703,0.9238797
15227,20297,0.9172574
15227,21117,0.9659242
15227,22049,0.93236613
15227,22597,0.9712121
15227,23095,0.95346344
15227,23141,0.9626511
15227,32746,0.9608109
15227,46161,0.97276276
15228,15229,1.0000001
15229,15228,1.0000001
15261,15283,1.0
15266,888,0.965878
15266,44195,0.965878
15283,15261,1.0
16824,582,0.99999994
16824,10467,0.9917083
16824,15196,0.99999994
16824,19884,0.99999994
16824,25586,0.9917083
16985,9050,1.0000001
16985,10449,0.9409657
16985,10497,0.9409657
16985,13692,0.9409657
16985,19889,1.0000001
16985,20388,0.9409657
16985,26623,0.9409657
16985,33672,0.9409657
16985,44457,0.9409657
17415,20280,1.0
17415,24935,1.0
17415,25219,1.0
17415,26924,0.95913154
17415,32297,1.0
17415,32659,1.0
17613,13698,1.0
17613,26813,1.0
17804,10165,1.0
18686,4745,0.9110156
18686,7519,0.92890924
18686,29028,0.96990925
18686,32007,0.94969285
18686,44803,0.9120641
19047,19048,0.98810774
19047,19051,0.9525287
19048,19047,0.98810774
19048,19051,0.9607028
19051,19047,0.9525287
19051,19048,0.9607028
19871,25912,1.0
19871,32470,0.98929507
19871,35949,1.0
19877,20386,1.0
19884,582,0.99999994
19884,10467,0.9917083
19884,15196,0.99999994
19884,16824,0.99999994
19884,25586,0.9917083
19889,9050,1.0000001
19889,10449,0.9409657
19889,10497,0.9409657
19889,13692,0.9409657
19889,16985,1.0000001
19889,20388,0.9409657
19889,26623,0.9409657
19889,33672,0.9409657
19889,44457,0.9409657
20017,20286,0.99999994
20017,20799,0.99999994
20017,21060,0.99999994
20025,26584,0.99999994
20104,13955,1.0
20104,14018,1.0
20104,25954,0.96974105
20104,26773,1.0
20104,27997,1.0
20200,20594,1.0
20233,20789,0.9192462
20233,20874,0.9192462
20274,20669,1.0
20280,17415,1.0
20280,24935,1.0
20280,25219,1.0
20280,26924,0.95913154
20280,32297,1.0
20280,32659,1.0
20286,20017,0.99999994
20286,20799,0.99999994
20286,21060,0.99999994
20295,20775,0.9008784
20295,20789,0.9145133
20295,20874,0.9145133
20297,4102,0.92336506
20297,12137,0.9215582
20297,15227,0.9172574
20297,21117,0.9182677
20297,22597,0.92201847
20297,23095,0.9069199
20297,23141,0.91694516
20297,32746,0.91365546
20297,46161,0.92789876
20330,20775,0.93122077
20358,10169,0.90323704
20358,27240,0.90323704
20358,29231,0.90323704
20358,32906,0.90323704
20358,39672,0.90323704
20372,26162,1.0
20374,32458,0.99999994
20374,32700,0.99999994
20374,34189,0.99999994
20375,8314,1.0
20386,19877,1.0
20388,9050,0.9409657
20388,10449,0.99999994
20388,10497,0.99999994
20388,13692,0.99999994
20388,16985,0.9409657
20388,19889,0.9409657
20388,26623,0.99999994
20388,33672,0.99999994
20388,44457,0.99999994
20390,25160,0.9089248
20390,32485,1.0
20390,34109,0.94557905
20392,24357,1.0
20400,13705,1.0
20400,20445,1.0
20400,20447,0.91097957
20400,26257,0.91537124
20400,26308,1.0
20411,24766,1.0
20437,8116,1.0
20437,26274,1.0
20437,32749,0.90930355
20445,13705,1.0
20445,20400,1.0
20445,20447,0.91097957
20445,26257,0.91537124
20445,26308,1.0
20447,13705,0.91097957
20447,20400,0.91097957
20447,20445,0.91097957
20447,26308,0.91097957
20451,11170,1.0
20455,20789,0.9295896
20455,20874,0.9295896
20461,24777,0.9261508
20461,30324,0.906836
20500,36513,0.99999994
20573,13668,1.0
20573,20618,0.98213786
20594,20200,1.0
20618,13668,0.98213786
20618,20573,0.98213786
20669,20274,1.0
20752,33473,0.9478892
20775,20295,0.9008784
20775,20330,0.93122077
20779,42207,0.9825923
20789,20233,0.9192462
20789,20295,0.9145133
20789,20455,0.9295896
20789,20874,1.0
20799,20017,0.99999994
20799,20286,0.99999994
20799,21060,0.99999994
20874,20233,0.9192462
20874,20295,0.9145133
20874,20455,0.9295896
20874,20789,1.0
21060,20017,0.99999994
21060,20286,0.99999994
21060,20799,0.99999994
21080,25366,0.99999994
21117,23,0.9435529
21117,4102,0.9836208
21117,12137,0.9844629
21117,13701,0.9455757
21117,13703,0.9347858
21117,15227,0.9659242
21117,20297,0.9182677
21117,22049,0.94266653
21117,22597,0.9821864
21117,23095,0.9707431
21117,23141,0.9764394
21117,32746,0.9737053
21117,46161,0.98427016
21146,27558,1.0
21146,43571,1.0
21200,5058,1.0
21230,21317,1.0
21232,21234,0.99999994
21232,21236,0.99999994
21232,21301,0.99999994
21234,21232,0.99999994
21234,21236,0.99999994
21234,21301,0.99999994
21236,21232,0.99999994
21236,21234,0.99999994
21236,21301,0.99999994
21301,21232,0.99999994
21301,21234,0.99999994
21301,21236,0.99999994
21317,21230,1.0
21430,32989,0.9358339
21833,28597,1.0
22049,23,0.912171
22049,4102,0.94722277
22049,12137,0.947197
22049,13701,0.90908104
22049,13703,0.901929
22049,15227,0.93236613
22049,21117,0.94266653
22049,22597,0.9444402
22049,23095,0.9315592
22049,23141,0.94190645
22049,32746,0.9399879
22049,46161,0.94686913
22364,10968,1.0
22559,45976,0.9240924
22591,22730,0.97546965
22592,22594,1.0
22594,22592,1.0
22597,23,0.95015275
22597,4102,0.9876384
22597,12137,0.9882018
22597,13701,0.94400513
22597,13703,0.9537553
22597,15227,0.9712121
22597,20297,0.92201847
22597,21117,0.9821864
22597,22049,0.9444402
22597,23095,0.96785593
22597,23141,0.97904414
22597,32746,0.9776935
22597,46161,0.9881211
22711,39386,0.9951712
22711,41876,0.9951712
22730,22591,0.97546965
23082,26234,0.97052747
23095,23,0.93266374
23095,4102,0.9692694
23095,12137,0.96964437
23095,13701,0.92739123
23095,13703,0.92105246
23095,15227,0.95346344
23095,20297,0.9069199
23095,21117,0.9707431
23095,22049,0.9315592
23095,22597,0.96785593
23095,23141,0.96139544
23095,32746,0.95948917
23095,46161,0.96996826
23141,23,0.94037205
23141,4102,0.9839251
23141,12137,0.98097235
23141,13701,0.938144
23141,13703,0.93119925
23141,15227,0.9626511
23141,20297,0.91694516
23141,21117,0.9764394
23141,22049,0.94190645
23141,22597,0.97904414
23141,23095,0.96139544
23141,32746,0.97109175
23141,46161,0.9810925
23250,33559,0.9586491
24280,1855,0.9558551
24357,20392,1.0
24479,5084,0.93496346
24479,11097,0.95119226
24534,15200,0.96335936
24572,8135,0.955132
24572,14593,0.90736485
24572,30999,0.96321404
24572,44966,0.94321156
24615,32581,1.0
24635,25371,0.9723294
24648,25127,0.9761015
24653,25154,0.99999994
24656,25217,1.0
24683,620,1.0
24683,4062,1.0
24683,9200,1.0
24683,29224,1.0
24683,30106,1.0
24683,31549,1.0
24688,28108,1.0
24706,33265,0.9354335
24722,6902,1.0
24722,27491,1.0
24722,32662,1.0
24722,32732,1.0
24727,7622,0.99999994
24727,9794,0.99999994
24727,9905,0.99999994
24727,9942,0.99999994
24727,29484,0.99999994
24738,24739,1.0000001
24739,24738,1.0000001
24766,20411,1.0
24777,20461,0.9261508
24935,17415,1.0
24935,20280,1.0
24935,25219,1.0
24935,26924,0.95913154
24935,32297,1.0
24935,32659,1.0
25120,26069,0.9090128
25127,24648,0.9761015
25129,25957,1.0
25146,13961,0.9195105
25146,27010,0.93154335
25154,24653,0.99999994
25160,20390,0.9089248
25160,32485,0.9089248
25160,34109,0.92714
